"species"	"petal.l"	"petal.w"	"n"
"setosa"	1.4	0.2	8
"setosa"	1.3	0.2	4
"setosa"	1.5	0.2	7
"setosa"	1.7	0.4	1
"setosa"	1.4	0.3	3
"setosa"	1.5	0.1	2
"setosa"	1.6	0.2	5
"setosa"	1.4	0.1	2
"setosa"	1.1	0.1	1
"setosa"	1.2	0.2	2
"setosa"	1.5	0.4	3
"setosa"	1.3	0.4	1
"setosa"	1.7	0.3	1
"setosa"	1.5	0.3	1
"setosa"	1.7	0.2	1
"setosa"	1	0.2	1
"setosa"	1.7	0.5	1
"setosa"	1.9	0.2	1
"setosa"	1.6	0.4	1
"setosa"	1.3	0.3	2
"setosa"	1.6	0.6	1
"setosa"	1.9	0.4	1
"versicolor"	4.7	1.4	2
"versicolor"	4.5	1.5	5
"versicolor"	4.9	1.5	2
"versicolor"	4	1.3	3
"versicolor"	4.6	1.5	1
"versicolor"	4.5	1.3	1
"versicolor"	4.7	1.6	1
"versicolor"	3.3	1	2
"versicolor"	4.6	1.3	1
"versicolor"	3.9	1.4	1
"versicolor"	3.5	1	2
"versicolor"	4.2	1.5	1
"versicolor"	4	1	1
"versicolor"	3.6	1.3	1
"versicolor"	4.4	1.4	2
"versicolor"	4.1	1	1
"versicolor"	3.9	1.1	1
"versicolor"	4.8	1.8	1
"versicolor"	4.7	1.2	1
"versicolor"	4.3	1.3	2
"versicolor"	4.8	1.4	1
"versicolor"	5	1.7	1
"versicolor"	3.8	1.1	1
"versicolor"	3.7	1	1
"versicolor"	3.9	1.2	1
"versicolor"	5.1	1.6	1
"versicolor"	4.5	1.6	1
"versicolor"	4.7	1.5	1
"versicolor"	4.4	1.3	1
"versicolor"	4.1	1.3	2
"versicolor"	4.4	1.2	1
"versicolor"	4.6	1.4	1
"versicolor"	4	1.2	1
"versicolor"	4.2	1.3	2
"versicolor"	4.2	1.2	1
"versicolor"	3	1.1	1
"virginica"	6	2.5	1
"virginica"	5.1	1.9	2
"virginica"	5.9	2.1	1
"virginica"	5.6	1.8	1
"virginica"	5.8	2.2	1
"virginica"	6.6	2.1	1
"virginica"	4.5	1.7	1
"virginica"	6.3	1.8	1
"virginica"	5.8	1.8	1
"virginica"	6.1	2.5	1
"virginica"	5.1	2	1
"virginica"	5.3	1.9	1
"virginica"	5.5	2.1	1
"virginica"	5	2	1
"virginica"	5.1	2.4	1
"virginica"	5.3	2.3	1
"virginica"	5.5	1.8	2
"virginica"	6.7	2.2	1
"virginica"	6.9	2.3	1
"virginica"	5	1.5	1
"virginica"	5.7	2.3	1
"virginica"	4.9	2	1
"virginica"	6.7	2	1
"virginica"	4.9	1.8	2
"virginica"	5.7	2.1	1
"virginica"	6	1.8	1
"virginica"	4.8	1.8	2
"virginica"	5.6	2.1	1
"virginica"	5.8	1.6	1
"virginica"	6.1	1.9	1
"virginica"	6.4	2	1
"virginica"	5.6	2.2	1
"virginica"	5.1	1.5	1
"virginica"	5.6	1.4	1
"virginica"	6.1	2.3	1
"virginica"	5.6	2.4	2
"virginica"	5.4	2.1	1
"virginica"	5.1	2.3	1
"virginica"	5.9	2.3	1
"virginica"	5.7	2.5	1
"virginica"	5.2	2.3	1
"virginica"	5	1.9	1
"virginica"	5.2	2	1
"virginica"	5.4	2.3	1
"virginica"	5.1	1.8	1
